country,code,income,year,age,pop,dts,bsn,bsn_up,bsn_lp,psc,up,lp,exc,age_type
Norway,NOR,High,2022,10-14,327244,26,33.96581824286261,56,18,0.7654754498800717,1.4444444444444444,0.4642857142857143,No-change,5y groups
Norway,NOR,High,2020,15-19,317448,91,78.45789163919605,106.02499999999998,57,1.1598578307263376,1.5964912280701755,0.8582881395897196,No-change,5y groups
Norway,NOR,High,2021,15-19,317302,89,79.82430997514372,112,54.97500000000002,1.114948566767611,1.618917689859026,0.7946428571428571,No-change,5y groups
Norway,NOR,High,2022,15-19,320816,74,82.15172907220543,124.02499999999998,54,0.9007722763200681,1.3703703703703705,0.5966539004233019,No-change,5y groups
Norway,NOR,High,2020,20-24,339660,115,152.07952119575103,197,118,0.7561833381364762,0.9745762711864406,0.583756345177665,Deficit,5y groups
Norway,NOR,High,2021,20-24,336087,113,157.41427020714696,209.04999999999995,117.97500000000002,0.7178510553795366,0.9578300487391395,0.5405405405405407,Deficit,5y groups
Norway,NOR,High,2022,20-24,333411,113,163.35723173248346,225,114,0.6917355222145947,0.9912280701754386,0.5022222222222222,Deficit,5y groups
Oman,OMN,High,2020,Stillbirths,82535,551,557.7723024166729,620,492,0.9878583027745723,1.1199186991869918,0.8887096774193548,No-change,<1m
Oman,OMN,High,2020,Neonatal,84405,438,420.2908131505129,504,349,1.0421355554187313,1.2550143266475644,0.8690476190476191,No-change,<1m
Oman,OMN,High,2021,Neonatal,82224,410,388.89699475910373,474,311.975,1.0542637395641696,1.31420786922029,0.8649789029535865,No-change,<1m
Oman,OMN,High,2020,Infant,84405,641,660.391422208036,749,582.975,0.9706364717106708,1.0995325700072902,0.855807743658211,No-change,<5y
Oman,OMN,High,2021,Infant,82224,669,616.2010616962481,708,532,1.0856845948275544,1.2575187969924813,0.9449152542372882,No-change,<5y
Oman,OMN,High,2020,1-4,365148,140,208.28682026146933,282.025,150,0.6721500660687669,0.9333333333333333,0.49640989274000535,Deficit,<5y
Oman,OMN,High,2021,1-4,365970,169,206.83140941659101,301,137,0.8170905979739634,1.2335766423357664,0.5614617940199336,No-change,<5y
Oman,OMN,High,2020,0-4,449552,781,881.1219993505231,991.025,773.975,0.8863698790583787,1.0090765205594496,0.7880729547690523,No-change,5y groups
Oman,OMN,High,2021,0-4,448194,838,829.1425682413299,957.025,713,1.0106826402333406,1.1753155680224403,0.875630208197278,No-change,5y groups
Oman,OMN,High,2020,5-9,407763,63,96.8022637404875,118,75.97500000000002,0.6508112265731062,0.8292201382033562,0.5338983050847458,Deficit,5y groups
Oman,OMN,High,2021,5-9,433889,98,97.91045254314865,118,77.97500000000002,1.0009145852615877,1.2568130811157419,0.8305084745762712,No-change,5y groups
