Country,Code,Income,Year,Sex,Age,Exposure,Deaths,Rate,bsn,bsn_lp,bsn_up,psc,up,lp,Source_dts,pop_yng,pop_in,fit_in,inc_in
Albania,ALB,Upper-mid,2015,t,15-19,239278,113,47.2,105.47551293914823,82,131,1.0713387102956575,1.3780487804878048,0.8625954198473282,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,t,15-19,228578,88,38.5,93.09223171084756,73,114.02499999999998,0.9452990693502282,1.2054794520547945,0.7717605788204343,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,t,15-19,218699,76,34.8,82.29168365994151,64,103.02499999999998,0.9235441130850963,1.1875,0.7376850279058482,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,t,15-19,210667,71,33.7,73.23788579355808,55,92,0.9694436046410979,1.290909090909091,0.7717391304347826,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,t,15-19,202066,71,35.1,64.90268589808608,49,86,1.0939454818786434,1.4489795918367347,0.8255813953488372,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,t,15-19,186357,54,29,51.09464786658519,34,73,1.0568621617865155,1.588235294117647,0.7397260273972602,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,f,20-24,125869,30,23.8,31.701716074729568,19,47,0.9463210108021232,1.5789473684210527,0.6382978723404256,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,f,20-24,124966,31,24.8,32.56637836830499,21,47,0.9519019784579591,1.4761904761904763,0.6595744680851063,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,f,20-24,122772,41,33.4,33.1047666954447,22,47,1.238492340912395,1.8636363636363635,0.8723404255319149,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,f,20-24,119299,29,24.3,33.28446720527004,22,47,0.8712772784119655,1.3181818181818181,0.6170212765957447,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,f,20-24,115500,33,28.6,33.34267165624808,21,49,0.9897227294866797,1.5714285714285714,0.673469387755102,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,f,20-24,106416,34,32,32.88914265791796,17,53,1.033775807221129,2,0.6415094339622641,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,m,20-24,130428,90,69,79.81166650435391,46,121,1.1276546893691324,1.9565217391304348,0.743801652892562,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,m,20-24,127728,57,44.6,74.28304740625163,45.950000000000045,111.02499999999998,0.7673352398733565,1.240478781284003,0.5133978833596038,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,m,20-24,124522,68,54.6,68.82682617438996,43,99,0.9879868618045092,1.5813953488372092,0.6868686868686869,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,m,20-24,120405,76,63.1,63.25053941504098,38,99,1.201570780310645,2,0.7676767676767676,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,m,20-24,115827,53,45.8,57.82792049996073,32,96,0.9165122927087788,1.65625,0.5520833333333334,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,m,20-24,106342,64,60.2,47.95663507093874,20.975000000000023,95.02499999999998,1.3345390039424052,3.0512514898688883,0.6735069718495135,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,t,20-24,256296,120,46.8,111.25574940837463,79,148,1.0785959434737056,1.518987341772152,0.8108108108108109,unicef_ccs,2866848.5,1,1,1
